,precision,Recall,F1-Score,Support
Entailment,0.7554076539101497,0.9546410333433464,0.8434182590233545,3329
Neutral,0.8678115015974441,0.6717156105100464,0.7572747865481791,3235
Contradiction,0.8888534014691791,0.8489932885906041,0.8684662193789981,3278
