,precision,Recall,F1-Score,Support
Entailment,0.7760666498359,0.91270783847981,0.8388593259653431,3368
Neutral,0.7603280680437424,0.7775706741223982,0.7688527107971125,3219
Contradiction,0.9222092570984053,0.7324683348779735,0.8164600550964187,3237
