,precision,Recall,F1-Score,Support
Entailment,0.7326549491211841,0.9406175771971497,0.8237129485179409,3368
Neutral,0.7930675909878683,0.7107797452625039,0.7496723460026212,3219
Contradiction,0.9265774378585087,0.7485325919060859,0.8280929596719071,3237
