,precision,Recall,F1-Score,Support
Entailment,0.7479616306954436,0.9260688836104513,0.827540461660918,3368
Neutral,0.7567225561531161,0.7430879155017086,0.7498432601880879,3219
Contradiction,0.9434416365824309,0.726598702502317,0.8209424083769634,3237
