,precision,Recall,F1-Score,Support
entailment,0.34705882352941175,0.05255344418052257,0.09128416709644148,3368
neutral,0.2940733299849322,0.7275551413482448,0.4188500402396494,3219
contradiction,0.41185185185185186,0.17176397899289467,0.24242424242424243,3237
